tenure,monthly_charges,total_charges,tech_support,contract_type,churn
52,119.40816546455756,6258.926826042892,0,0,0
15,21.107855259430966,364.9711073895087,0,0,1
61,93.01734533106766,5713.743853298999,1,0,1
21,77.17893159359805,1595.0027892896571,1,2,0
24,63.40521760809567,1578.9383809001517,1,1,0
3,32.75701745713709,51.71752355691908,0,0,1
22,60.908514863487625,1382.6569989396714,1,1,1
53,55.43771829861353,2854.4702538371143,0,1,0
2,50.28298889787422,41.71036560138752,0,0,0
30,93.08796233222077,2875.2696230151514,0,0,1
38,90.07255212842638,3412.565250188742,0,0,1
2,78.90200909809116,123.75552522535985,1,0,1
64,113.86648132933722,7342.592740510865,0,2,0
60,54.985438418085444,3359.9948862629903,1,0,1
21,44.38019377101796,910.320028786416,1,2,0
33,85.59033130983995,2838.4041058718253,0,1,0
58,39.881406093740296,2319.9669247072943,1,0,0
22,51.50105071834246,991.6680437670342,0,2,0
49,42.460244007488484,2010.7589524287496,0,0,1
59,26.91535677185012,1635.118770248261,1,0,1
42,102.74987416356734,4273.864502417691,0,1,0
60,45.45405429216612,2753.7351523332204,0,0,1
15,67.30275033430206,1022.6932775818075,0,0,1
62,24.331527325431196,1569.3263326831282,1,1,0
62,89.93394662526431,5507.715116345994,0,2,0
47,53.056100230629085,2513.3470028876295,0,0,0
62,94.473672782921,5854.09698963433,0,0,1
51,61.240306046786614,3083.76689135237,1,1,1
55,39.57556064056246,2136.8160147169733,0,1,0
64,71.3175082282036,4575.694570646313,0,0,0
3,33.05045596374398,130.6348764438215,0,2,1
51,64.05391598729948,3269.929529479488,0,1,0
7,51.73054774204866,366.84954678720453,0,1,0
21,111.19595841996332,2310.1904066174284,0,2,0
39,26.092872172071996,996.0127238583216,0,2,0
18,89.4017414105742,1569.607827472441,0,0,0
4,38.275116598743594,127.17038381022296,0,0,0
60,51.90450743322398,3144.0042255851886,0,1,1
14,61.551406306206594,897.0399695085847,0,2,1
9,110.80150893749742,933.4197996471698,0,1,0
53,44.25782660738251,2300.842976427193,0,0,1
2,29.130880254467023,22.74185932547448,0,1,1
60,51.868960399052355,3108.93578085482,0,0,0
71,30.467597053553334,2079.0417505004666,0,2,1
44,32.85964859605525,1401.879185839514,0,0,1
8,77.38505979750266,549.8014027289177,0,2,1
47,26.09019330994933,1246.2631922781243,1,0,1
35,23.093088139356603,806.7743377608679,0,2,1
36,91.44141014704978,3268.7633890216734,1,0,0
50,56.16470948410445,2755.0716101668213,0,1,0
4,32.53753492338733,107.79531712908957,0,2,0
2,45.361277085970826,62.48794838404559,1,1,1
6,84.2086507352399,586.985232037433,0,1,1
54,47.55365671408512,2617.748448139685,0,0,0
4,69.4521125120408,243.27305375171719,1,0,1
54,32.16953067266723,1745.4144233716531,0,2,1
63,78.8093637605447,5012.200349243616,0,0,0
18,51.607768384326405,894.3891215530608,0,1,0
44,82.69684345287166,3567.8055748776897,1,1,0
34,100.8394882304023,3338.699673787047,1,0,1
62,81.16464193899924,5095.821146213683,0,0,1
14,49.57475625950207,684.4934685595331,0,0,0
48,45.574370154830035,2202.1360290755765,1,0,0
15,52.7420958733448,762.419569334219,0,2,1
62,36.462051323650485,2197.252236141846,0,1,1
40,38.117185085002006,1470.6223621581253,0,0,0
53,99.06911019001679,5183.611100456259,0,0,1
24,58.4732576507445,1445.8579043413117,0,1,0
26,63.59951805705858,1728.2155274001257,1,0,0
60,79.40494655668113,4766.158991524619,1,0,0
41,78.96534951515477,3161.6893754613257,0,0,0
29,26.73768715219257,800.2221369553649,0,2,1
