age,income,loan_amount,credit_history_length,num_existing_loans,default
19,57137,21049,20,3,1
53,130477,5993,18,3,1
58,103509,16226,7,2,1
27,62189,45489,12,2,1
58,141090,41693,2,2,1
36,113171,45672,19,0,1
22,108608,25425,22,1,1
23,98064,38825,21,4,1
19,81375,17237,0,1,1
41,26404,13428,0,3,1
53,116726,36996,20,0,1
67,52377,6822,8,0,1
19,120427,44235,24,1,1
66,33728,9133,19,0,0
47,23262,16508,4,0,1
56,110604,37200,29,4,1
61,83573,27319,23,0,0
41,116812,44473,13,0,0
20,127811,45000,2,0,1
18,106071,27565,17,0,1
30,64283,12710,7,1,1
58,56988,40681,18,4,1
26,68847,5050,5,0,0
38,118375,48029,23,4,1
57,93676,27276,27,3,0
33,130457,9660,8,1,0
65,109351,23338,25,2,1
45,149041,28291,9,0,0
55,134679,22860,15,3,1
64,47973,30841,24,0,0
54,107822,19752,22,2,0
62,81100,32335,23,3,1
35,135512,34736,8,2,1
27,108634,29847,2,2,1
50,96657,33711,13,0,0
39,87801,9148,4,2,1
65,135453,18257,24,2,1
59,76586,15792,4,3,1
53,142589,15183,13,2,0
37,139862,5180,18,1,0
40,89792,40031,7,0,0
44,70531,5858,17,1,0
68,34548,24517,26,3,1
23,145324,15093,27,3,0
30,77900,47040,7,1,1
50,39529,16913,16,3,1
45,121265,13267,25,3,1
19,38121,21416,4,0,1
62,121202,15430,14,1,0
29,109309,7087,23,1,0
68,122227,6189,19,0,0
29,102456,23325,1,1,0
47,147214,11681,2,3,1
49,109009,39796,26,1,0
67,113813,23116,7,3,1
59,78642,14094,15,3,0
51,44141,9139,4,0,1
30,115902,11430,27,1,0
31,68981,24886,27,0,0
30,145965,15716,14,1,0
53,119642,44253,1,4,1
42,55967,45209,16,2,0
58,65011,17798,4,4,1
27,59690,29750,23,3,0
68,56685,27324,14,4,1
58,55729,46376,17,4,1
29,149956,20185,13,4,1
18,93845,15222,5,0,1
41,50471,36390,13,0,1
29,119465,34510,19,0,0
53,89807,7504,16,3,1
68,126552,42419,10,1,0
66,126012,31688,13,1,0
56,70959,29238,21,4,1
66,83000,21275,23,4,1
20,130400,49261,22,1,1
60,125125,49211,20,0,1
37,96201,25601,21,4,1
36,121566,43880,22,0,1
58,116344,46362,18,0,1
45,135391,39857,16,2,0
53,95123,21869,2,0,0
63,115426,43833,17,2,0
47,120290,7459,23,0,0
39,108694,30319,14,2,1
59,62441,27507,20,0,0
62,106430,38262,8,3,1
54,94764,14797,16,1,1
51,46236,18373,24,3,0
63,138157,25904,2,4,1
47,111623,48926,24,1,0
49,52621,29128,15,3,1
29,127541,20918,21,4,1
48,141689,12154,0,1,1
29,31247,10139,21,0,0
62,60911,45393,25,3,0
54,64634,42184,19,0,1
59,44410,10321,3,1,0
41,76317,18558,26,1,0
48,102630,19303,26,4,1
45,56639,5449,9,2,0
55,41303,12659,4,2,0
41,31794,41552,20,1,1
60,51034,11972,15,1,1
45,67562,41176,17,3,0
55,99748,8889,14,0,0
50,62122,44108,14,2,1
21,129884,45352,4,3,1
25,103367,14969,14,4,1
46,34258,15638,16,4,1
63,48915,6282,17,1,0
59,28417,33839,9,1,1
23,106263,20412,11,4,1
63,139356,15757,10,3,0
57,37210,43531,24,3,1
66,26989,11370,11,3,1
32,103411,46255,6,2,1
52,138497,20252,29,4,0
53,138885,9988,23,3,1
50,147806,19489,18,0,0
58,27870,43250,22,3,1
45,56839,49480,27,3,1
18,47425,14336,23,4,1
32,96289,42395,26,1,0
59,137315,20644,21,2,0
50,143242,16474,24,2,0
54,33679,45867,20,4,1
45,103934,27915,14,2,0
35,84097,6593,8,1,1
31,86366,23329,23,2,1
66,75448,8506,14,4,1
43,52246,22933,18,0,1
68,148927,11203,22,2,0
28,104870,14182,13,0,0
49,25012,30302,17,4,1
44,62384,27996,4,1,1
40,43779,18812,3,2,1
28,117794,37982,8,3,1
62,149352,27738,29,3,0
51,135151,23007,25,1,0
68,83482,8047,22,2,1
56,94157,32418,19,1,1
36,35246,15410,6,4,1
31,138299,42867,29,2,1
45,47453,17289,9,3,1
20,80982,46454,3,1,1
57,100468,8460,14,1,0
52,83222,25164,5,4,0
21,76575,14697,3,4,1
33,57139,29465,19,0,0
48,126082,17366,6,4,1
47,143153,27236,14,3,1
28,32706,6303,22,0,0
52,20750,16361,27,4,1
44,122648,43628,16,3,1
24,22119,23772,16,3,1
51,85609,18557,13,2,1
29,95146,18760,29,0,0
48,97129,26556,15,2,1
24,53342,45876,5,1,1
33,78489,22543,8,1,1
49,124678,6625,4,2,1
21,26553,48882,14,2,1
29,133686,17925,11,2,1
46,138493,5076,15,0,1
24,32664,36889,22,0,1
25,47524,6439,0,2,1
38,27997,33392,1,3,1
59,27451,16686,13,4,0
43,69928,8209,19,4,1
52,87777,11290,5,4,1
25,32900,39168,0,0,0
39,38996,31500,14,0,1
23,94884,14043,17,1,0
48,67013,5083,26,4,1
19,79600,42003,16,3,1
39,119925,28515,18,3,1
66,20446,7820,20,0,0
52,96816,48440,17,4,1
57,131734,43991,6,4,0
18,29105,42109,1,0,1
24,28735,25108,26,4,1
41,54805,37252,28,2,0
36,35142,26772,19,2,1
26,60315,41065,1,2,1
40,104278,42481,21,1,1
45,100739,28123,22,4,0
22,146870,19932,8,1,0
68,135515,46179,2,1,1
63,24502,9823,15,0,1
33,55777,30530,14,2,1
50,46317,47598,11,2,1
19,121293,21381,25,3,1
41,69228,44071,23,4,1
34,116632,9449,29,3,0
39,33630,7528,6,2,1
29,67957,35641,28,2,0
21,91417,33821,7,4,1
48,55052,10805,20,2,0
37,56197,43846,7,2,1
51,143985,18270,21,4,0
28,102438,34414,25,0,0
32,59668,34953,5,0,0
49,130571,19147,11,4,1
23,38116,36492,3,4,1
47,132848,32877,6,2,1
28,122455,16080,5,3,1
34,114367,35948,29,0,0
66,28847,20413,29,4,1
41,119016,43679,14,1,1
18,87674,31390,28,4,1
25,130722,5283,4,4,1
41,86572,22864,21,4,1
54,82405,16590,6,2,1
65,122429,33874,7,1,1
66,70026,6406,14,2,0
59,115507,6492,3,0,0
43,80967,29616,3,2,0
32,33482,14007,4,3,1
42,73907,23954,23,0,0
36,38133,24073,7,0,1
18,93675,6157,27,1,1
27,136971,38255,10,4,1
64,46414,49293,15,3,1
19,116148,49318,22,1,1
30,114987,25243,8,2,1
42,50223,38455,19,0,0
49,30028,22237,21,0,0
57,56660,11041,27,3,1
55,116303,28514,8,2,1
36,47405,25117,5,2,0
20,147584,25482,15,3,0
69,62025,22487,3,0,0
48,64928,21795,15,3,1
34,76779,5161,26,0,0
47,68421,11308,11,4,1
52,101850,15532,12,1,0
36,57582,23461,9,4,0
23,97119,11463,24,3,1
19,86520,27844,19,4,1
64,33986,22570,6,2,1
55,119833,35091,3,2,1
46,80756,39854,13,3,1
24,143832,30092,8,4,1
23,76245,48402,23,3,0
22,20658,42529,3,1,1
53,142830,41594,23,1,1
51,71221,28275,19,4,1
43,50565,21435,13,3,0
22,27429,44680,23,1,1
60,78133,19733,1,0,0
31,144497,7232,27,0,1
47,113807,7761,3,2,0
30,88276,38697,10,4,1
26,24991,47019,23,3,1
64,127269,14885,16,3,1
32,93134,24029,6,3,1
37,33133,40574,11,1,1
31,77393,15796,22,2,0
65,121926,35420,19,4,0
39,60022,44726,11,3,1
60,28731,28274,14,4,1
29,66938,49003,26,2,0
39,139994,19960,21,4,0
56,127292,30403,7,0,0
57,27773,8467,23,4,0
43,79876,28036,24,0,1
24,80482,25351,17,2,0
45,80566,20171,23,0,0
51,107629,25978,2,2,0
58,143035,16093,3,2,0
58,23453,49036,7,3,1
22,103472,35165,22,1,0
52,69510,30753,6,3,1
52,146150,12433,5,2,0
56,69867,28807,15,2,1
19,115891,9495,2,1,1
34,64259,21144,10,2,1
24,32868,44027,15,2,1
18,128357,9187,15,4,0
39,31495,24180,18,3,1
62,56522,35708,14,1,1
19,37737,34349,28,4,0
21,66201,46401,26,3,0
49,99406,49064,12,0,0
23,106793,9509,13,4,1
27,69416,33639,20,3,1
51,89896,35672,26,2,0
44,86840,12022,24,4,0
41,25444,44861,22,0,1
67,97736,39907,12,2,1
38,74882,15209,19,1,0
58,35518,36785,16,4,1
63,86066,18174,11,0,0
60,81910,5355,6,3,1
62,148743,12302,16,4,1
31,106452,10633,15,0,0
44,138105,9008,1,4,1
56,88363,28029,29,3,1
30,28751,15129,23,3,1
27,44912,48893,24,2,0
64,146733,37106,16,4,1
31,45076,21723,13,3,1
18,98773,46353,12,0,0
45,38501,28219,16,3,0
35,97824,46625,16,0,0
30,89848,43429,8,1,1
49,122295,11569,29,0,0
66,96604,31379,9,3,0
64,84479,7374,5,3,1
29,80198,24333,18,2,1
44,62398,31361,22,1,1
53,95123,7386,24,1,1
40,64548,41075,28,0,0
58,49942,21608,29,2,0
22,134221,46475,2,2,0
30,146591,23981,1,1,1
55,39415,21901,29,4,1
59,106248,18712,24,2,1
49,49387,6920,11,3,0
55,38882,43001,6,4,1
56,61914,44787,14,1,0
36,58054,44918,14,2,0
57,46799,31247,17,0,0
39,131060,6827,22,1,1
24,87900,28194,16,1,1
39,63210,32175,29,0,0
61,86512,18323,15,4,1
42,140102,33593,1,2,1
69,79409,14669,1,0,0
63,20212,18851,0,0,1
68,110694,42433,17,2,0
57,87839,23075,12,0,1
60,34688,19391,11,1,0
60,88579,18535,0,3,1
30,64070,34295,19,2,0
51,67308,15170,9,1,0
50,56191,28736,7,0,1
49,48783,36977,7,0,1
40,114766,18275,5,0,1
53,103764,7605,11,3,0
21,104089,32263,13,1,1
19,113199,48171,4,1,0
34,47771,13815,12,1,0
43,134637,6120,7,4,0
20,75949,8592,19,0,1
22,103638,47761,18,0,0
22,128432,42292,4,1,1
63,50994,42561,3,2,1
37,77743,26396,11,1,0
21,96180,19208,1,3,1
30,42242,44110,29,2,1
62,22052,22187,23,1,0
29,103366,48306,12,0,1
57,37213,8631,2,2,1
65,100221,47453,23,4,1
47,97392,21708,1,4,1
30,82901,36175,20,1,0
56,41904,23021,3,1,0
19,95055,32434,7,3,0
18,30289,35449,16,1,1
23,46395,40689,10,3,0
53,78366,47231,6,0,1
22,24802,40005,8,3,1
38,60177,15037,11,2,0
66,72693,7479,12,3,0
28,106330,49510,16,0,0
58,81552,37149,0,3,1
24,35990,18460,27,2,1
38,90741,7694,7,1,0
45,28773,5051,0,0,0
45,149950,30063,26,2,0
37,142301,41171,13,4,1
56,77338,32251,21,3,1
20,62144,38289,23,3,1
57,121910,29629,29,2,1
46,105137,37564,9,2,1
49,54831,49352,29,1,0
19,91728,27965,0,4,1
27,57258,40460,23,1,0
33,66765,45633,18,1,1
61,129632,10706,12,1,1
49,98104,35490,15,3,1
65,105696,34398,12,1,0
54,20213,13271,25,1,0
49,133357,34862,19,0,1
41,51662,10909,11,3,1
29,42686,25850,25,2,1
22,38396,5454,25,3,1
33,105620,42574,28,1,1
23,63635,28680,15,3,0
59,44540,21067,17,3,1
33,144181,47636,17,0,0
69,101889,8210,20,0,0
60,145478,41850,5,3,0
62,63102,18552,24,4,0
44,78778,20923,26,2,0
27,121562,26179,21,4,0
54,29800,32051,27,1,1
62,149340,38912,8,1,1
64,129936,44696,11,2,0
48,45058,5659,11,1,1
22,28739,20767,18,2,1
55,34795,13952,7,3,1
37,116437,11207,11,3,1
63,78338,25067,6,3,1
40,110185,44110,18,0,0
42,133156,33339,9,1,1
45,147314,27214,25,1,1
51,130346,26375,10,3,1
46,46888,43247,4,4,1
39,34511,29664,13,0,0
50,42033,27832,14,2,1
47,56366,44655,29,1,0
22,65454,29009,10,1,0
55,47705,33010,16,0,0
58,48341,21515,2,2,1
60,74490,27911,18,3,1
39,142692,31992,0,0,1
26,21567,46637,13,1,1
53,134431,20118,7,0,1
35,93542,25928,12,4,0
41,73750,16664,26,3,0
64,93529,49284,26,0,1
51,41166,12582,9,4,0
49,72100,43477,15,2,1
40,98244,48896,1,3,1
18,36418,27138,28,2,1
63,122422,49565,7,0,0
31,73022,9408,5,2,1
28,49111,27260,15,1,0
60,25983,15455,5,2,1
37,72623,18655,2,2,1
34,85245,36505,11,1,0
20,144059,9613,26,4,0
46,61094,28131,5,4,0
23,132648,13558,12,2,1
63,105586,47753,22,3,1
32,95430,29309,27,2,1
61,132811,22563,15,1,0
20,105970,22061,6,0,1
33,55319,39964,3,2,1
65,39240,48851,13,3,1
60,40106,36788,15,3,0
63,30006,31130,20,1,0
26,28952,5574,14,0,0
43,106849,23624,2,3,1
51,76314,47447,21,0,0
44,20955,37702,8,1,1
42,23189,31558,16,3,1
65,149925,42778,17,2,0
51,91588,8197,0,3,1
26,38960,10146,8,2,1
69,46225,14776,27,3,1
46,124768,39068,14,3,1
46,102695,34271,23,4,0
45,144340,16548,0,2,0
20,76728,46139,16,2,1
26,20791,25570,1,1,0
45,87489,41933,20,0,0
49,83033,43887,0,4,0
38,80721,24975,14,0,1
36,50368,20148,25,3,1
52,145341,44211,26,4,0
67,90341,15720,22,4,0
38,98621,37762,4,3,1
29,84639,7824,12,0,1
19,67550,13668,13,2,1
33,38922,21198,10,1,0
65,21925,47485,19,1,1
53,138014,15291,13,0,0
47,66968,48406,8,1,1
21,136889,24244,2,3,1
49,88006,13667,27,2,0
24,129445,32672,8,0,0
44,141727,39695,20,0,0
46,120189,9938,18,2,1
61,148816,8372,22,1,0
51,129561,35528,1,1,1
53,87884,15488,0,3,1
28,106566,32545,19,0,0
38,77268,35780,22,0,0
23,59078,36198,23,2,0
57,129615,15231,23,2,0
69,34655,32262,15,2,1
48,92518,15241,16,0,0
63,54941,8167,5,2,1
29,68797,39463,20,4,1
44,40701,37600,23,3,1
52,118892,37398,8,4,1
62,92361,37275,13,0,1
47,127938,16839,4,2,0
41,45859,46348,20,4,1
27,46390,38064,0,2,1
66,110060,32940,11,3,1
62,139021,11131,1,0,1
23,111409,43845,17,4,1
23,59977,45136,17,3,0
38,98180,48642,16,1,1
61,119680,27302,15,3,1
54,22820,28957,27,1,0
37,104518,31613,8,2,0
63,130481,43066,10,3,0
38,79497,48918,0,2,0
23,135388,38167,27,0,0
61,103367,40899,6,1,0
49,46009,36845,7,4,0
50,146954,7919,14,4,1
31,88718,20549,27,4,1
53,72951,48812,8,1,0
60,59548,28856,1,3,1
32,47684,38372,7,0,1
41,130353,35457,7,4,1
42,24640,26573,1,3,1
44,118731,26600,22,4,0
38,110936,26674,6,3,1
27,33298,19819,20,3,1
58,71540,32474,9,2,0
58,40629,8415,1,1,1
61,83721,17967,1,0,0
25,44407,13676,23,1,1
41,121422,33335,9,4,1
57,74494,12714,7,0,0
26,72709,5337,20,0,1
46,74430,16189,14,2,0
62,130240,23673,14,1,1
18,46759,23926,3,2,1
38,71616,18144,27,4,1
68,37077,27726,2,3,1
66,24143,5507,3,0,1
31,99011,10940,10,0,0
31,139587,17342,22,1,0
40,106773,21623,6,2,0
43,97429,16518,7,4,1
41,149931,17205,21,2,0
51,72166,37463,14,1,0
61,118172,27165,10,4,1
52,98942,6598,11,0,0
30,62003,14485,16,3,1
58,44824,38492,25,1,1
35,109044,22873,2,3,1
52,57010,20250,19,1,1
65,74840,34900,13,1,0
56,149830,28798,8,3,1
19,74204,32059,3,0,1
20,102106,49140,23,4,1
22,39955,19208,25,1,0
35,25094,26105,27,0,1
61,41320,10085,22,0,1
29,82862,42507,28,2,1
63,75370,18669,4,0,0
57,71013,28642,29,1,0
41,59176,13996,26,1,0
69,129324,19309,5,0,0
47,37152,6740,15,0,0
69,37032,13145,7,2,0
69,81313,47695,29,3,1
56,54319,7899,16,2,0
63,94361,22404,14,4,1
49,71406,40629,28,4,1
64,52540,47458,13,2,1
