iter	Passed	Remaining
0	156	15464
1	168	8247
2	180	5827
3	191	4590
4	202	3852
5	215	3369
6	227	3021
7	238	2739
8	247	2503
9	257	2320
10	267	2163
11	276	2024
12	285	1908
13	294	1809
14	303	1721
15	311	1636
16	320	1564
17	327	1492
18	336	1436
19	344	1377
20	351	1323
21	359	1273
22	366	1228
23	374	1185
24	382	1147
25	389	1107
26	397	1074
27	405	1042
28	413	1012
29	420	981
30	429	955
31	437	929
32	444	903
33	452	878
34	460	855
35	468	832
36	476	810
37	483	788
38	491	769
39	499	749
40	509	733
41	517	715
42	526	697
43	534	679
44	542	663
45	550	646
46	558	629
47	566	613
48	574	598
49	583	583
50	590	567
51	600	554
52	609	540
53	620	528
54	628	514
55	637	501
56	645	487
57	654	474
58	662	460
59	669	446
60	676	432
61	684	419
62	691	406
63	699	393
64	706	380
65	714	368
66	721	355
67	728	342
68	737	331
69	744	318
70	751	307
71	759	295
72	767	283
73	774	272
74	782	260
75	788	248
76	795	237
77	802	226
78	810	215
79	817	204
80	823	193
81	830	182
82	837	171
83	845	161
84	852	150
85	859	139
86	866	129
87	874	119
88	880	108
89	888	98
90	895	88
91	902	78
92	909	68
93	917	58
94	926	48
95	933	38
96	942	29
97	949	19
98	957	9
99	964	0
